title,writer,publisher,school,id_number,call_num,description,pubDate,img,catgory,rental_count,like_count,book,member,affiliation,rental_requset_member,rental_requset_status,rental_requset_data,rental_status,over_due_status,return_date,reservation_count
내편 전쟁   회사에서 유난히 인정받는 그 사람의 사소한 습관,다카기 고지,매일경제신문사,대덕소프트웨어마이스터고등학교,IT00007323,325.3 다872ㄴ,"사람 사이의 관계만큼 회사생활을 좌지우지하는 게 없다. 세상은 생각보다 단순하지 않아서, 뛰어난 실력 하나만으로 누구보다 확 앞서나가는 일은 많지 않다. 성공하는 사람 대부분은 관계 속에서 타인을 내편으로 끌어들여 자기만의 지분을 확보할 줄 안다. 그렇게 원하는 것을 얻게 되면 당연히 회사도 즐거워지기 마련이다. 저자가 말하려 하는 게 바로 그거다.",2018-03-30,https://image.aladin.co.kr/product/13789/99/cover500/k862532028_1.jpg,국내도서>자기계발>인간관계>인간관계,0,0,1,,1,,False,,False,False,,0
리더의 그릇,나카지마 다카시,다산3.0,대덕소프트웨어마이스터고등학교,IT00007489,325.211 나872ㄹ,"일본 경제경영 분야 베스트셀러 저자인 나카지마 다카시의 책. 저자는 경영컨설턴트로 활동하면서 약 3만 명의 기업가들을 만났는데, 성공하는 이들에게는 공통점이 있다는 사실을 발견했다. 대범해 보이는 그들도 1년 뒤, 2년 뒤의 목표가 구체적이고 분명했으며, 늘 사업에 대한 아이디어가 넘쳐났다.",2016-02-29,https://image.aladin.co.kr/product/7774/30/cover500/k412434125_1.jpg,국내도서>자기계발>리더십>리더십,0,0,1,,1,,False,,False,False,,0
우리는 웃기는 리더를 존경한다,임붕영,다산북스,대덕소프트웨어마이스터고등학교,IT00007547,331.17 임46ㅇ,"15년간 유머를 경영, 리더십에 도입하여 80만 명을 웃기고 울린 유머 전도사 임붕영 교수의 유머 리더로 거듭나는 39가지 해법을 담은 책. 유머경영에 대한 방법과 지침부터 유머경영으로 성과를 낸 기업의 이야기, 또 유머 리더가 갖춰야 할 마음가짐을 담고 있다. 또한 유머형 리더를 만드는 9가지의 마인드를 비롯해서 개인의 유머 감각을 키워주는 습관들, 나아가 조직문화에 반영할 수 있는 리더십의 면면을 세밀히 짚어준다.",2010-08-25,https://image.aladin.co.kr/product/750/48/cover500/8963702952_2.jpg,국내도서>자기계발>리더십>리더십,0,0,1,,1,,False,,False,False,,0
 비전과 변화를 위한 긍정 코칭,로버트 딜츠,아카데미북,대덕소프트웨어마이스터고등학교,IT00015910,325.345 딜85ㄱ c.2,"세계 최고의 NLP 전문가 로버트 딜츠의 책. 이 책은 NLP(신경언어 프로그래밍)의 핵심이라고 할 수 있는 신경논리적 단계에 맞춘 '코칭' 기법을 정리한 책이다. 환경, 행동, 능력, 신념과 가치, 아이덴티티 그리고 영적인 부분에서 혁명적인 변화를 불러오는 핵심 코칭 기술에 대해 알려준다.",2009-05-20,https://image.aladin.co.kr/product/381/25/cover500/8956810931_1.jpg,국내도서>자기계발>리더십>리더십,0,0,1,,1,,False,,False,False,,0
 인맥의 달인이 공개하는 인맥관리의 기술,김기남,서돌,대덕소프트웨어마이스터고등학교,EM00013597,325.04 김18ㅇ,,,,,0,0,1,,1,,False,,False,False,,0
여자는 말하는 법으로 90  바뀐다,후쿠다다케시,이아소,대덕소프트웨어마이스터고등학교,EM00011837,802.5 후876ㅇ,"일본 커뮤니케이션 전문가인 저자가 30여 년간 교육을 통해 현장에서 축적한 말하기의 노화우를 수록한 커뮤니케이션 테크닉 책. 단순히 논리와 내용에 치중하는 다른 화술 교습서와 달리 미소, 옷차림, 걸음걸이 등 비언어적 요소까지 총체적으로 강조한다",2018-07-07,https://image.aladin.co.kr/product/15132/87/cover500/k602533265_1.jpg,국내도서>자기계발>여성의 자기계발,0,0,1,,1,,False,,False,False,,0
독한 여자가 성공한다 ,데브라 콘드렌,여성자신(학원사),대덕소프트웨어마이스터고등학교,EM00011841,325.04 콘27ㄷ,"멀티플레이어를 원하는 세상에 맞선 여자의 성공전략를 담은 책. 여성도 야망이 있다. 끝까지 지키고 싶은 자신의 꿈이 있다. 여자로서의 역할, 지켜야 할 덕목들 때문에 '희생'이라는 이름으로 뒤로 밀려나야 했던 성공이라는 목표가 있다. 여성의 자기 성찰을 통해 그것을 지켜나갈 수 있는 현명한 방법과 전략을 제시한다.",2008-11-20,https://image.aladin.co.kr/product/280/65/cover500/8919204144_1.jpg,국내도서>자기계발>여성의 자기계발,0,0,1,,1,,False,,False,False,,0
설득의 심리학 1  사람의 마음을 사로잡는 7가지 불변의 원칙,로버트 치알디니,북이십일 21세기북스,대덕소프트웨어마이스터고등학교,IT00016830,189 치62ㅅ v.1,세계적으로 ‘설득의 대부’로 불리는 로버트 치알디니의 베스트셀러 『설득의 심리학』이 전 세계 500만 부 판매를 기념하여 전면 개정판으로 돌아왔다. 국내 출간 이후 11년간 국내 독자들의 뜨거운 관심과 사랑을 받아온 『설득의 심리학』의 이번 개정 증보판은 시대의 흐름과 기술 변화를 반영한 새로운 내용들을 대거 추가됐다.,2023-04-26,https://image.aladin.co.kr/product/31520/75/cover500/8950950006_1.jpg,국내도서>자기계발>협상/설득/화술>설득,0,0,1,,1,,False,,False,False,,0
10년 차    기획자의 노트,한성규,좋은습관연구소,대덕소프트웨어마이스터고등학교,IT00016850,325.1 한54ㅅ,"좋은 습관 시리즈 32권. 지금 내가 잘 하고 있는 건가? 매일같이 이 질문을 스스로에게 할 수밖에 없는 중소 IT 스타트업 기획자에게 보물 같은 책이 나왔다. 기획 아이디어를 얻고, 개발자 디자이너와 업무 조율을 하고, 이후 론칭과 운영까지 전반적인 기획자 역할을 선배가 후배에게 설명하듯 상세히 소개하고 있다.",2023-08-01,https://image.aladin.co.kr/product/32099/52/cover500/k892834008_1.jpg,국내도서>경제경영>CEO/비즈니스맨을 위한 능력계발>기획/정보/문서관리,0,0,1,,1,,False,,False,False,,0
 속마음 들키지 않고 할 말 다 하는 심리 대화술,이노우에 도모스케,밀리언서재,대덕소프트웨어마이스터고등학교,IT00016922,189.2 이195ㅅ c.2,"조용히 일만 잘하면 될 줄 알았는데 시시때때로 선을 넘어서 나를 신경 쓰이게 하는 사람들이 있다. 이들의 심리를 알고 그에 맞게 대화 방식을 조금만 바꾸면 내가 원하는 것을 얻을 수 있다. 일일이 대응할 필요도, 그렇다고 너무 참지 않아도 된다. 회사만 가면 찝찝하기만 했던 마음의 습도를 쾌적하게 유지하는 심리 대화법.",2023-08-17,https://image.aladin.co.kr/product/32264/0/cover500/k592834849_1.jpg,국내도서>자기계발>협상/설득/화술>화술,0,0,1,,1,,False,,False,False,,0
